PSRJ,P0,P1
J1032-5206,2.407622311,1.79E-14
J1032-5911,0.464212627,1.80E-15
J1034-3224,1.150590428,2.30E-16
J1035-6345,0.579576736,3.50E-16
J1035-6720,0.002872006,4.65E-20
J1036-4926,0.510369403,1.65E-15
J1036-6559,0.533501886,1.36E-15
J1038+0032,0.028851558,6.70E-20
J1038-5831,0.661992094,1.25E-15
J1041-1942,1.386368075,9.45E-16
J1042-5521,1.170867244,6.72E-15
J1043-6116,0.288605287,1.04E-14
J1044-5737,0.139028891,5.46E-14
J1045-4509,0.007474224,1.77E-20
J1046+0304,0.326271446,1.24E-16
J1046-5813,0.369428088,1.15E-15
J1047-3032,0.330328052,6.10E-17
J1047-6709,0.198451451,1.69E-15
J1048+2339,0.004665163,3.01E-20
J1048-5832,0.123725343,9.61E-14
J1048-5838,1.231304777,1.22E-14
J1049+5822,0.727617873,3.91E-15
J1049-5833,2.202325077,4.41E-15
J1050-5953,6.452076579,3.81E-11
J1052-5954,0.180591501,2.00E-14
J1052-6348,0.383830424,3.87E-16
J1054-5943,0.346908958,4.07E-15
J1054-5946,0.22832425,2.09E-16
J1054-6452,1.840003541,3.14E-15
J1055-6022,0.947558409,9.24E-14
J1055-6028,0.099660833,2.95E-14
J1055-6236,0.448635442,7.08E-16
J1055-6905,2.919396987,2.03E-14
J1056-5709,0.676081894,5.76E-16
J1056-6258,0.422450532,3.58E-15
J1056-7117,0.026309677,6.30E-20
J1057-4754,0.628305879,2.25E-16
J1057-5226,0.19711469,5.84E-15
J1057-5851,0.620365031,1.01E-13
J1057-7914,1.347403776,1.33E-15
J1058-5957,0.616270272,6.57E-16
J1059+6459,3.631169679,5.74E-15
J1059-5742,1.18500262,4.31E-15
J1101-6101,0.062800077,8.56E-15
J1101-6424,0.005109273,1.80E-21
J1103-5403,0.00339271,3.68E-21
J1103-6025,0.396586749,9.90E-16
J1104-6103,0.280905302,1.97E-15
J1105-4353,0.351111862,2.50E-15
J1105-6037,0.194938267,2.18E-14
J1105-6107,0.063202131,1.58E-14
J1106-6438,2.717934136,2.33E-15
J1107-5907,0.252773323,9.01E-18
J1107-5947,1.516530965,3.40E-16
J1107-6143,1.799395668,1.56E-13
J1110-5637,0.558254373,2.06E-15
